Players,Man of the Match
Kuldeep Yadav,4
Jos Buttler,3
Wanindu Hasaranga,2
Umesh Yadav,2
Quinton de Kock,2
Shubman Gill,2
Avesh Khan,2
Dinesh Karthik,2
Hardik Pandya,2
Rahul Tripathi,2
K L Rahul,2
Yuzvendra Chahal,2
David Miller,2
Jasprit Bumrah,2
Umran Malik,2
Evin Lewis,1
Abhishek Sharma,1
Pat Cummins,1
Liam Livingstone,1
Lockie Ferguson,1
Shivam Dube,1
Sanju Samson,1
Odean Smith,1
Mohammed Shami,1
Mayank Agarwal,1
Anuj Rawat,1
Kane Williamson,1
Faf du Plessis,1
Rashid Khan,1
Marco Jansen,1
Shikhar Dhawan,1
Mukesh Choudhary,1
Krunal Pandya,1
Rahul Tewatia,1
Suruakumar Yadav,1
Mohsin Khan,1
Ruturaj Gaikwad,1
Rinku Singh,1
Kagiso Rabada,1
Riyan Parag,1
Harshal Patel,1
David Warner,1
Yashasvi Jaiswal,1
Tim David,1
Devon Conway,1
Mitchell Marsh,1
Daniel Sams,1
Jonny Bairstow,1
Andre Russell,1
W. Saha,1
Trent Boult,1
Shardul Thakur,1
Virat Kohli,1
R Aswin,1
Harpreet Brar,1
Rajat Patidar,1
