Player,Total Runs
Jos Buttler,651
Quinton de Kock,377
KL Rahul,351
Shubman Gill,288
Faf du Plessis,257
Liam Livingstone,239
David Warner,213
W. Saha,190
Ishan Kishan,180
Shikhar Dhawan,158
Hardik Pandya,154
Mitchell Marsh,152
Rahul Tripathi,147
Devon Conway,143
Virat Kohli,131
Abhishek Sharma,122
Andre Russell,119
Deepak Hooda,114
Rajat Patidar,112
Ruturaj Gaikwad,99
Shivam Dube,95
David Miller,94
Moeen Ali,93
MS Dhoni,86
Yashasvi Jaiswal,68
Suryakumar Yadav,68
Dinesh Karthik,66
Sai Sudharsan,65
Shimron Hetmyer,59
Aiden Markram,57
Kane Williamson,57
Nitish Rana,57
Pat Cummins,56
Riyan Parag,56
Sanju Samson,54
Tilak Varma,51
Sherfane Rutherford,28
